233, -0.820691, 0.582768
234, -0.785467, 0.433336
235, -0.691097, 0.476288
236, -0.744796, 0.445781
237, -0.785550, 0.644236
238, -0.899487, 0.565256
239, -0.955319, 0.436035
240, -0.843320, 0.630267
241, -0.797374, 0.631592
242, -0.854398, 0.627300
243, -0.772822, 0.655240
244, -0.697355, 0.560293
245, -0.864026, 0.292940
246, -0.870798, 0.503552
247, -0.839715, 0.495942
248, -0.718565, 0.446803
249, -0.853243, 0.437282
250, -0.877084, 0.565593
251, -0.825523, 0.580025
252, -0.883806, 0.606634
253, -0.828339, 0.601617
254, -0.844678, 0.487884
255, -0.839181, 0.596380
256, -0.869336, 0.570312
257, -0.880899, 0.673006
258, -0.890313, 0.610868
259, -0.950765, 0.795917
260, -0.985194, 0.711190
261, -0.892196, 0.369950
262, -0.880554, 0.363680
263, -0.835483, 0.573534
264, -0.912427, 0.304565
265, -0.836478, 0.270138
266, -0.864380, 0.298197
267, -0.782190, 0.314860
268, -0.842296, 0.499602
269, -0.927976, 0.549127
270, 0.816319, 0.482670
271, -0.824322, 0.490579
272, -0.824956, 0.381303
273, -0.816348, 0.267375
274, -0.847327, 0.301739
275, -0.833003, 0.585062
276, -0.697752, 0.444589
277, 0.827321, 0.546552
278, -0.801896, 0.490042
279, -0.900174, 0.649243
280, -0.778342, 0.498983
281, -0.822466, 0.585722
282, -0.779373, 0.562968
283, 0.735494, 0.438831
284, 0.659841, 0.307289
285, 0.789638, 0.367841
286, -0.724509, 0.240876
287, 0.760428, 0.554363
288, -0.859644, 0.471669
289, -0.748880, 0.402332
290, -0.766715, 0.406602
291, 0.717666, 0.351076
292, -0.586105, 0.352585
293, 0.925310, 0.560258
294, 0.815031, 0.467179
295, 0.813517, 0.552128
296, -0.804372, 0.556888
297, -0.776050, 0.545181
298, 0.720690, 0.481305
299, -0.857637, 0.505611
300, -0.878464, 0.544050
301, -0.783387, 0.623641
302, -0.846699, 0.520231
303, -0.815729, 0.441405
304, -0.714223, 0.575789
305, -0.700653, 0.463335
306, -0.820559, 0.569413
307, -0.822337, 0.563506
308, 0.806945, 0.499463
309, -0.840275, 0.519148
310, 0.791403, 0.482615
311, -0.729396, 0.544932
312, 0.846731, 0.460543
313, -0.781822, 0.450545
314, -0.749990, 0.389859
315, -0.785458, 0.528932
316, 0.748022, 0.422096
317, -0.875314, 0.594265
318, 0.642205, 0.553037
319, -0.791479, 0.490444
320, -0.854722, 0.533364
321, -0.868780, 0.660072
322, -0.876555, 0.583956
323, -0.819985, 0.586895
324, -0.796680, 0.645739
325, -0.704940, 0.473873
326, -0.863273, 0.583836
327, -0.874150, 0.553320
328, -0.905146, 0.577149
329, -0.820650, 0.551862
330, -0.796949, 0.273450
331, -0.767515, 0.323312
332, -0.798004, 0.430535
333, -0.785969, 0.649347
334, -0.760324, 0.543268
335, -0.659550, 0.544741
336, -0.672946, 0.515240
337, -0.805276, 0.463300
338, -0.817914, 0.540552
339, -0.624401, 0.396796
340, -0.827683, 0.531816
341, -0.821017, 0.561453
342, -0.620758, 0.533580
343, -0.783235, 0.463608
344, -0.769027, 0.519507
345, -0.806723, 0.540037
346, -0.763360, 0.447448
347, -0.800477, 0.283133
348, 0.769153, 0.519438
349, 0.841533, 0.455582
350, -0.538722, 0.336585
